Date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3
2018-01-12,Brazil Soybeans 6.4% Harvested Mato Grosso 20% Harvested,50-60% of Soybeans in Argentina at Risk from Dry Weather,Soybean Pod Shedding in Brazil Explained (maybe),Forward Soybean Sales have been slow in Brazil,Dryer Weather in Brazil beneficial for early Soybean Harvest,Weather in Uruguay has been inconsistent for Soybean Production,Soybean Pods Dropping of Plants in Parana for Unknown Reason,Conventional Soy (non-GMO) maintains Niche Market in Brazil,Parana has 52% of all the Confirmed Cases of Soybean Rust in Brazil,Brazilian Farmers Moving Old Crop Corn to make room for Soy,"9,62",0,-1
2018-02-08,2017/18 Brazil Soybean Crop 35% Harvested Farmers Encouraged,Argentina Soybeans Estimates Declining,Buenos Aires Grain Exchange Slashes Soybean Production Estimate,Soybean Production in Uruguay also impacted by Dry Weather,Brazilian Soybean Crop 25% Harvested,Argentine Soybean Estimate Continues to Decline,83% of Mato Grosso's Cotton is Safrinha Production,Crop Estimates in Argentina Continue to Decline,Brazil Soybeans 26% Harvested slowed by Wet Weather,Argentina Soybeans at Risk from Hot and Dry Conditions,"9,82",1,1
2018-03-08,Soy Harvest Complete in Mato Grosso Brazil 71% Harvested,Industrialization is the Cure for Low Corn Prices in Mato Grosso,Brazil could increase Irrigated Crop Acreage 65% in Six Years,Brazil Soy Crop 65% Harvested Yields Good in Rio Grande do Sul,Early Soy Yields in Argentina are Highly Variable 11 to 72 bu/ac,Farmers in NE Brazil could Harvest Record Soybean Yields,Rains Benefit Soybeans in Rio Grande do Sul in Southern Brazil,Rains Offer Limited Help to Soy Crop in Argentina More Needed,2017/18 Brazil Soybean Crop Approaching 50% Harvested,Conab Increases Brazilian Soy Estimates and Trims Corn Estimate,"10,35",1,1
2018-04-10,U.S. Planting Progress - Corn a little Slow Soybeans a little Ahead,Farmers in Mato Grosso are slow Sellers in Spite of Improved Prices,Last Day to Harvest Soybeans in Mato Grosso was last Saturday,Wheat Production in South America could increase 5.9% in 2018,Dry Weather Negatively Impacting Safrinha Soybeans in Paraguay,Only 1.2% of Deforestation in Amazon Region due to Soy Production,Brazilian Soybean Farmers very Pleased with Strong Prices,Farmers in NE Brazil are very pleased with this Year's Production,Domestic Corn Prices Strengthen in Mato Grosso,Brazil Government Authorized the sale of One Million Tons of Corn,"10,35",0,0
2018-05-10,Soybean-Free Period takes effect in Central Brazil next Week,Soybean Prices Rise in Brazil Fueled largely by Weaker Currency,Brazilian Farmers are finally selling their Wheat at a Profit,Brazilian Organizations Criticize Increased Freight Rates,Brazil Corn Estimates Decline in Spite of first Rainfall in Weeks,2018 U.S. Planting Pace - Corn now Average Soybeans Advanced,Soybean Stem Fly found in Central Brazil for the First Time,Weaker Brazilian Currency results in Improved Soy Prices,Uruguay Soybean Production down 61% due to Severe Drought,Argentina's Soybeans Negatively Impacted by Wet Weather,"10,38",0,0
2018-06-12,Conab lowers Brazil's Safrinha Corn Estimate 2.2 mt in July Report,U.S. Corn Condition Declines Slightly Soybeans Unchanged,Argentina could Import 6 Million Tons of Soybeans from Paraguay,U.S. Corn Condition Declines 1% Soybeans Decline 2%,June Planted Report offers few Surprises,U. S. Corn Condition Declines Slightly Soybeans Unchanged,Soybeans are being used in Sugarcane Renovation in Sao Paulo,U.S. Corn Condition Improves Slightly Soybeans Decline Slightly,Best Way to Control Soybean Rust is Multipronged Approach,Conab Increases Soybean Estimate and Lowers Corn Estimate,"10,09",0,-1
2018-07-12,Trip Report - Iowa and Northern Illinois,Brazilian Farmers may Plant 3-4% more Soybeans in 2018/19,Safrinha Corn Production in Brazil continues to Disappoint,Forward Selling Slow in Brazil due to Uncertainty over Freight Rates,Flower Prices Increase in Brazil due to Higher Freight Rates,High Freight Rates increase Cost of Producing Crops in Mato Grosso,Conventional Soybeans (non-GMO) continue to find a niche in Brazil,Brazilian Farmers concerned about lost Sales Opportunities,U.S. Corn Condition Steady Soybean Condition Improves,Brazilians may be missing Selling Opportunity due to Freight Dispute,"8,8",0,-1
2018-08-10,Annual Month-By-Month Crop Production Cycle for Argentina,Crop Production Cycle for Paraguay Uruguay and Bolivia,Annual Month-By-Month Crop Production Cycle in Brazil,2018 U.S. Corn Condition Declines Slightly Soybeans Unchanged,2018/19 Corn Acreage in Argentina could increase 7.4%,U.S. Corn Condition Holds Steady Soybeans Improve,New Soybean Variety in Argentina more Tolerant to Dry Weather,Farmers in Bahia very Pleased with Cotton Production and Price,Brazilian Soybean Prices supported by Weaker Brazilian Currency,U.S. Corn Condition declines 2% Soybeans decline 1%,"8,66",0,-1
2018-09-12,History of How Brazil became so Important in Soybean Production,Soy Crush Margins in Brazil could turn Negative Fourth Quarter,Soy Farmers in Mato Grosso do Sul are Planting Fast and Selling Fast,Brazil Farmers expecting at least $10/bu for their 2018/19 Soybeans,Soybean Planting in Parana off to record fast Pace,Cotton Acreage and Production continues to increase in Brazil,South American could set new Records for Soy and Corn Production,Soybean and Full-Season Corn Planting in Parana at Record Pace,Brazil could Import up to 1.0 Million tons of U.S. Soybeans,2018/19 Brazilian Soybean Planting off to a Strong Start,"8,49",0,-1
2018-10-11,Brazil Soybean Planting continues at Record Fast Pace,Soy Harvest in Brazil will start 10-15 Days Earlier than Last Year,First Case of Soybean Rust reported in Commercial Fields in Brazil,In Sept. Brazil Exported 57 Times more Soybeans to China than U.S.,Proposal would increase Brazil's Biodiesel Blend to B15,Brazil's Soybeans being planted at Record Fast Pace,Corn-Based Ethanol production focus of Meeting in Mato Grosso,Corn-Based Ethanol production focus of Meeting in Mato Grosso,Brazil's 2018/19 Corn Crop could set a New Record High Production,Strong Machinery sales in Brazil expected to continue into 2019,"8,47",0,0
2018-11-08,Corn-Based Ethanol helps to hold down Gasoline Prices in Brazil,Department of Rural Economics rates Parana Soybeans as 97% Good,Deforestation in Mato Grosso increased for Second Consecutive Year,Brazilian Farmers concerned about Early Confirmation of Soy Rust,Brazil's Cotton Exports could increase 35% in 2019,"""Grain Railroad"" could lower Cost out of Mato Grosso by 30%",Santa Catarina runs 4 Million Ton Deficit in Corn Production,95% of China's Soybean Imports in October 2018 came from Brazil,Crushers in Matos Grosso running out of Soybeans,Imea Releases their First Corn Production Estimate for Mato Grosso,"8,65",1,1
2018-12-14,Brazil Soybean Crop 21% Harvested vs. 5-Year Average of 8.6%,Pushback Continues against late Planting of Soy in Mato Grosso,Early Soy Yields out of Mato Grosso do Sul and Goias Disappoint,Soybean Prices in Mato Grosso decline as Harvest Progresses,Every State in Brazil expecting Lower Soybean Yields,Brazilian Farmers have sold 33.7% of their 2018/19 Soy Production,Brazil's Soybeans 6% Harvested Early Yields are Disappointing,Minimum Freight Rates Increased in Brazil,Argentina Soybeans Improving Wet Weather is a Concern,Brazil Soybean Harvest Underway Early Yields Disappoint,"8,95",1,1
2019-02-08,Late Season Weather helping 2018/19 Brazilian Soybean Crop,Soybean Premiums and Prices Move Higher in Brazil,Soybean Yields improving in Parana but total Crop Still down 15%,Spring Weather could Impact 2019 Corn and Soy Acreage in U.S.,2018/19 Brazilian Soybean Crop is 45% Harvested,Indigenous Farmers in Brazil want to Expand Crop Production,Improved Weather in Brazil Stabilizes Soybean Crop,2018/19 Soy Production in Paraguay could be down as Much as 30%,Conab lowers Brazilian Soybean Production 3.5 mt to 115.3 Million,2018/19 Safrinha Corn is 71.2% of Brazil's Total Corn Production,"9,13",1,1
2019-03-08,Anec Estimates Lower Brazilian Soybean and Corn Exports,USDA Report may Overestimate Corn Underestimate Soy Acreage,Good Early Corn Yields in Argentina Soy Harvest just Starting,Brazilian Farmers Optimistic about Safrinha Corn Production,Soy Yields in NE Brazil Variable just Like the Rest of the Country,2018/19 Brazilian Soybean Crop approaching 70% Harvested,Early Soy Harvest Underway in Argentina Good Yields Reported,Soybean Moratorium helps preserve the Water Cycle in Brazil,Wet Weather Slows Brazil's Soybean Harvest Helps Safrinha Corn,2018/19 Soybean Harvest just getting Underway in Argentina,"9,09",0,0
2019-04-09,Brazilian Land Prices Reflect Agricultural Usage,Corn-Based Ethanol now 4.6% of Brazil's Ethanol Production,Equipment Sales Soar at Successful Agrishow-2019 in Brazil,Increased Cotton Prod. Stimulates Cotton Harvester Sales in Brazil,Deforestation Declined in Brazil in 2018 Much More Work Needed,The State of Mato Grosso leads Brazil in Cattle Production,2018/19 Argentine Soybeans more than 50% Harvested,Brazilian Exporters Unhappy about Increase in Freight Rates,Soybean Premiums decline significantly at Brazilian Ports,Farmers in Rio Grande do Sul like their Soy Yields but not Soy Prices,"8,99",0,-1
2019-05-10,96% of Fungicides used on Brazilain Soybeans is for Rust Control,Imea Estimates Soy Area in Mato Grosso to Increase 0.6% in 2019/20,2019 U.S. Soybean Planting Record Slow at 39% Complete,Brazilian Soybean Prices follow U.S. Prices Higher,2019 U.S. Soybean Acreage and Yields Uncertain at this Time,Corn-Based Ethanol Production continues to Expand in Brazil,Argentina Soy 77% Harvested Corn 34% Strong Yields for Both,U.S. Corn 49% Planted (Avg. is 80%) Soybeans 19% (Avg. is 47%),Brazil Soy Sales Soar due to Chinese Dollar Delays in U.S. Planting,Brazil Anticipates Increased Meat Exports to China,"8,63",0,-1
2019-06-11,Trip Report - Northern Illinois - July 5 2019,U.S. Corn Condition Improves Slightly Soybeans Decline Slightly,Soy Prices could decline 23% if Brazil's Kandir Law Revoked,2019 U.S. Soy 92% Planted 83% Emerged - Remains Very Delayed,Cost of Producing Corn and Cotton in Mato Grosso on the Rise,Trip Report - Illinois Indiana and Ohio,U.S. Crop Conditions Decline due to Wet Conditions,2019 U.S. Corn 96% Planted Soybeans 85% Planted,Corn Harvest in Full Swing in Brazil Record Production Expected,2019 U.S. Corn 92% Planted Soybeans 77% Planted,"8,47",0,-1
2019-07-11,Soybean Prices Improving for Brazilian Farmers,First Look at 2019/20 South American Crop Production,Condition of U.S. Corn Crop declines 1% to 57% Good to Excellent,Brazil Ministry - Soy Production to Expand 32.9% over next Decade,Condition of the 2019 U.S. Soybean Crop Unchanged,Freeze results in Lower Wheat Production in Parana Brazil,U.S. Corn Condition declines 1% to 57% Good to Excellent,U.S. Soybean Condition Unchanged at 54% Good to Excellent,Soybean Supply to tighten in Brazil between September and January,Reaction to the S. American Estimates in the July WASDE Report,"8,93",1,1
2019-08-12,Six Million Acres of 2019 U.S. Soybeans not yet Setting Pods,2019 U.S. Corn Condition declines 3% gd/ex Soybeans Unchanged,Soybean Rust may Appear Later this Year in Southern Brazil,Economics and Politics Favor Soy over Corn in Argentina in 2019/20,AgRural Projecting 1.1% increase in Brazil Soy Acreage in 2019/20,Farmers in Parana should be the First to Plant Soybeans in Brazil,2019 U.S. Corn Condition improves 1% G/E Soybeans Unchanged,Soybean Prices in Brazil continue to Move Higher,Argentina May Start Exporting Soybean Meal to China,Farmers in Parana trying to Revive Cotton Production,"8,79",0,-1
2019-09-12,20% of Argentine Corn Planted Very Little Soy Dryness Worries,2019/20 Brazilian Soybean Planting off to Slowest Start in 6 Years,Conventional Soybeans (non-GMO) Losing Ground in Mato Grosso,Soybean Planting in Rio Verde Goias off to an Uneven Start,2019/20 Brazil Soybean Planting off to a Slow Start 1% Planted,2019/20 Argentina Corn 16% Planted very few Soybeans Planted,Farmers in Western Mato Grosso are Anxious to Plant Soybeans,Deforestation Declined in Mato Grosso as Grain Prod. Increased,Santa Catarina to increase Soybean Acreage Decrease Corn Acreage,2019/20 Soy Planting in Brazil off to a Slower Start than Last Year,"8,61",0,-1
2019-10-10,Delayed Soybean Planting in Brazil could Impact Safrinha Corn,Soybean Planting in Argentina just Getting Underway,2019/20 Brazilian Soybean Crop 46% Planted,Argentina Expected to Increase Commodity Export Taxes,Soybean Prices in Brazil Decline 5% over last Two Weeks,2019/20 Brazilian Soybeans 35% Planted About Average,Farmers in Bahia Brazil starting to Plant their 2019/20 Soybeans,2019/20 Soybean Planting in Mato Grosso do Sul slowest in 5 Years,2019/20 Brazil Soybeans 21% Planted vs. 34% in 2018/19,2019/20 Argentine Soybean Planting just getting Underway,"9,01",1,1
2019-11-08,First Case of Soybean Rust Confirmed in Brazilian Soybean Fields,Argentina Soy 39% Planted Corn 46% Dryer Forecast Worries,2019/20 Brazilian Soybeans Approaching 90% Planted,Surging Corn Exports Result in Higher Corn Prices in Brazil,Dry Areas of Argentina Received Showers Soybeans 32% Planted,Argentine Farmers Switching Some Intended Corn to Soybeans,2019/20 Brazilian Soybeans are 79% Planted,Delayed Soy Planting Could Reduce Brazil's Safrinha Corn Acreage,Paraguay Soy Farmers Worried about Weather and Potential Taxes,Strong Corn Prices in Mato Grosso Brazil's Largest Corn Producer,"9,31",1,1
2019-12-10,Fewer Cases of Soybean Rust in Brazil vs. Last Growing Season,2019/20 Argentina Soybeans Stabilized with Improved Weather,Dry Weather Trimming Soy Yields in Southern Brazil and NE Brazil,Early Soybean Harvest under Way in Select Regions of Mato Grosso,Workshop Promotes Wheat Production in Mato Grosso Brazil,2019 Corn Prices in Mato Grosso Averaged 17% More than in 2018,New Joint Venture in Brazil for Corn-Based Ethanol Production,2019/20 Brazil Soy Generally OK Dryness in NE Brazil Worries,Argentina has Approximately 65800 Soybean Producers,Attractive Prices Encourage Brazilian Farmers to Sell their Grain,"8,98",0,-1
2020-01-10,China's Grain Purchases Focused on Brazilian Soybeans,Domestic Corn Prices in Brazil Expected to Remain Strong in 2020,2019/20 Soybean Harvest Pace in Brazil Slower than Last Year,Ethanol Stimulates Safrinha Corn Production in Mato Grosso,2019/20 Argentina Soybeans 100% Planted,Farmers in Bahia Starting to Harvest their Irrigated Soybeans,Early Soybean Yields in Brazil are Generally Positive,Brazilian Analysts Optimistic Concerning Brazil's Soybean Exports,After a Dry Start Late Rains Benefit Soybeans in Paraguay,Mato Grosso Farmers have Sold 4.9% of their 2020/21 Soybean Crop,"9,31",1,1
2020-02-11,Soy Producers and Processors in Argentina Upset over Higher Taxes,Domestic Grain Prices in Brazil Setting Record Highs,Domestic Corn Prices in Brazil Continue Very Strong,Emater Lowers Soy and Corn Estimates in Rio Grande do Sul,Brazil's Biodiesel Blend Increased to 12% Vegetable Oil (B12),"Brazil is ""Best Game in Town"" When it Comes to Soybean Exports",2019/20 Brazilian Soybeans 43.1% Harvested,Domestic Corn Prices in Brazil 20% Higher Than a Year Ago,Dry Weather could Impact Late Developing Soybeans in Argentina,Reaction to USDA's 2020 Outlook Conference,"9,03",0,-1
2020-03-10,Argentina Soybeans 8.1% Harvested Yields Variable,Brazil Soy 86% Harvested Rio Grande do Sul Severely Impacted,Only Minor Problems being Reported for Brazilian Logistics,Domestic Corn Prices in Brazil remain Strong,Soybean Yields in Rio Grande do Sul down at Least 40%,Brazilian Soybean Producers Recording Record High Profit Margins,Parana Farmers to Increase 2020 Winter Wheat Acreage by 5%,Brazilians Advised to Sell their Soy before Potential Stronger Real,Brazilian Producers Bullish on Future of Corn Ethanol Production,Brazil Soybeans 70% Harvested Variable Yields being Reported,"8,9",0,-1
2020-04-09,Soy Prices Continue to Increase in Brazil due to Weaker Currency,Brazil Crushers Compete with Exporters for Tight Soy Supplies,Imea Estimates Mato Grosso will surpass 10 mha of Soy in 2020/21,2019/20 Argentina Soy Harvest Ahead of Average Approaching 70%,U.S. Corn Planting 51% Complete Soy 23% both Ahead of Average,Brazilian Farmers Expected to Increase their Winter Wheat Acreage,Brazil Soy Supply Should be Adequate to Meet Demand in 2020,Paraguay Ethanol Production Impacted by Corvid-19 Pandemic,Brazil Continues to Export Soybeans at a Record Pace,Domestic Soybean Prices in Brazil Set Records Last Friday,"8,61",0,-1
2020-05-12,Port of Paranagua Exports Record Amounts of Soybeans in 2020,Agricultural Equipment Sales Surge in Brazil,Brazil's Cotton Acreage to Decline in 2020/21 More Corn and Soy,2020 U.S. Soybean Crop 75% Planted and 52% Emerged,Soybeans are Gaining Acreage in the State of Sao Paulo Brazil,2019/20 Argentina Soybeans 93% Harvested Corn 43% Harvested,Itaipu Dam Opens Spillway to Increase Water Level of Parana River,Yacyreta Dam Increases Water Discharge to Aid Parana River,Weaker Currency Results in Higher Cost of Production in Brazil,2020 U.S. Corn 80% Planted Soybeans 53% Planted,"8,41",0,-1
2020-06-11,2020 U.S. Soybeans Starting to Bloom Dryness is a Concern,Conab Increases Soy Estimate 0.4 mt Lowers Corn Estimate 0.4 mt,2020 U.S. Corn Condition Declines 2% Soy Condition Unchanged,Increased Acreage and Late Rains Help Brazil Safrinha Corn,2020 U.S. Crop Conditions Improve 1% for both Corn and Soybeans,Currency Volatility Spurred Soybean Sales in Brazil,Depressed Ethanol Sales in Brazil show Signs of Recovery,Forward Contracting of Brazil Soybeans Should Slow,2020 U.S. Crop Condition-Split Decision Corn up 1% Soy Down 2%,Soy Planting Complete in Brazil's Northernmost State of Roraima,"8,49",0,0
2020-07-10,2020 U.S. Corn Condition Declines 1% Soybeans Improve 1%,Corn Prices in Brazil supported by Exports Livestock and Ethanol,2020/21 Argentina Soybean and Corn Acreage Estimates,2020/21 Paraguay Soybean and Corn Acreage Estimates,2020 U.S. Corn Condition Unchanged Soybeans up 1% to 73% G/Ex,Itaipu Dam releasing more Water to Aid Paraguay Soybean Barges,Brazilian Corn Acreage could Increase 2.3% in 2020/21,Brazilian Soybean Acreage could Increase 4.2% in 2020/21,2020 U.S. Corn and Soy Crops Improve 3% to 72% Good to Excellent,Completion of Highway BR-163 lowers Transportation Costs 25%,"8,78",1,1
2020-08-12,Mato Grosso to Produce More Corn than Soybeans in 2020/21,Soybean Planting Starts in Parana Brazil Today September 10th,U.S. Corn Condition down 1 to 61% G/E Soy down 1 to 65% G/E,Potential Long Term Soybean Expansion in Brazil,Annual Month-By-Month Crop Production Cycle in Brazil,Strong Exports Forces Brazil to Import Soybeans Corn and Rice,Spot Commodity Prices in Mato Grosso near Record High Levels,Soy Stocks Tight in Brazil may be Tight Again Second Half of 2021,2020 U.S. Corn Condition Declines 2% Corn is 12% Mature,2020 U.S. Soybean Condition Declines 3% 8% Dropping Leaves,"8,87",1,1
2020-09-11,2020/21 Brazil Soybeans 1.6% Planted Average is 4.5%,Brazil Soybeans R$ 160.00 per sack (approximately $13.35 per bu.),Corn Prices in Southern Brazil hit R$ 70.00 per sack ($5.80 per bu.),Soybean Oil Prices in Brazil Record High Carryover Record Low,"""Northern Arc"" of Ports Increase Share of Brazil's Grain Exports",Corn Prices in Mato Grosso continue to Set Record Highs,2020 U.S. Corn 15% Harvested Soybeans 20% Harvested,Soybean Supply Situation in Brazil Getting even Tighter,2020 U.S. Soybean Condition 63% G/E 6% Harvested,2020 U.S. Corn Condition Improves 1% G/E Soybeans Unchanged,"9,34",1,1
2020-10-09,Brazil Importing U.S. Soybeans,Soybeans are Not a Major Contributor to Fires in Brazilian Amazon,2020/21 Argentina Corn 30% Planted Soybeans 2-3% Planted,Soybean and Corn Prices Continue to Set Records in Brazil,Farmers in N. Mato Grosso Working Double Shifts Planting Soy,Farmers in Parana Almost Double Soybean Planting in One Week,Completion of BR-163 Lowers Freight Costs out of Mato Grosso,2020/21 Argentina Corn 28% Planted Soybeans 1-2% Planted,Spot Prices for Soy and Corn Continue to Set Records in Mato Grosso,2020/21 Brazil Soybeans 23% Planted Average is 34%,"10,19",1,1
2020-11-10,Brazil Soybeans 90% Planted Rain is Improving but More is Needed,600 Trucks Carrying Paraguay Soy and Corn Waiting to Enter Brazil,U.S. Soybeans Unloaded at Port of Paranagua in Southern Brazil,After Record Highs Soybean Prices Declining in Brazil,2020/21 Parana Soybeans Rated 72% Good Worst in five Years,Soybean and Corn Prices Decline in Mato Grosso Brazil,Vessel of U.S. Soybeans Arrives at Port of Paranagua in Brazil,2020/21 Brazilian Soybeans 87% Planted Rainfall Improving,Higher Corn Prices in Brazil could Compensate for Lower Yields,Brazilian Farmers Already Purchasing Inputs for 2021/22 Soy Crop,"10,72",1,1
2020-12-10,Soy Harvest in Mato Grosso will be 15-20 Days Later Than Normal,January Critical for Brazilian Soybeans Some Areas Need Rain,Weather Improving in Brazil Early Maturing Soy Disappointing,2020/21 Argentina Soybeans 88% Planted 42% Good to Excellent,A Few Early Soybeans Harvested in Mato Grosso Last Week,Export Taxes on Argentina Soybeans back to 33%,Recent Rains in Central Brazil Help to Stabilize Soybean Crop,2.3% of Brazil's Soybeans are Conventional Soybeans (non-GMO),Argentina Soy 77% Planted Rain Needed to Plant Double-Crop,Early Weather Concerns Impact Soybean Production in Mato Grosso,"11,65",1,1
